,Naam,name_in_all_elections,name_in_elected_people,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,totaal aantal stemmen,hoeveelste_in_verkiezing,gewonnen,marginal_winner,marginal_loser,margin,consequential_election,hoelang_tussen_1_en_2,hoelang_tussen_1_en_laatst,hoeveel_distr_deze_verk,hoeveelste_keer_prob,hoeveelste_keer_prob_alg,hoeveelste_keer_gewonnen,hoeveelste_keer_gewonnen_alg,hoeveelste_keer_gewonnen_tweedeproxy,hoevaak_gewonnen_alltime,hoevaak_gewonnen_verleden,hoevaak_gewonnen_toekomst,name_politician_data,b1-nummer,naam,deflated_wealth,verk_2_gewonnen,verk_3_gewonnen,verk_4_gewonnen,verk_5_gewonnen,verk_6_gewonnen,verk_7_gewonnen,verk_8_gewonnen,verk_9_gewonnen,verk_10_gewonnen
623,W. Poolman,W. Poolman,W.  Poolman,,1095.0,58.18%,Amsterdam,1860-04-03,herstemming,4318,1893,1893,1882,5,1.0,941,1882.0,1,1,1,0,0.1636556854410202,1,84 days 00:00:00,168 days,1,3,2,1,0,1,1,0,0,W.  Poolman,01053,W.  Poolman,,0.0,,,,,,,,
624,J.G. Rijnders,,,,787.0,41.82%,Amsterdam,1860-04-03,herstemming,4318,1893,1893,1882,5,1.0,941,1882.0,2,0,0,1,-0.1636556854410202,1,,14 days,1,2,1,,,0,0,0,0,,,,,,,,,,,,,
625,mr. J. Heemskerk Azn.,mr. J. Heemskerk Azn.,J.  Heemskerk Azn.,,1232.0,90.72%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,1,1,1,0,0.010437375745526839,1,3263 days 00:00:00,13777 days,1,4,3,2,2,1,4,1,2,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,0.0,0.0,0.0,1.0,0.0,,,,
626,mr. J. Heemskerk Azn.,mr. J. Heemskerk Azn.,J.  Heemskerk Azn.,,1232.0,90.72%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,1,1,1,0,0.010437375745526839,1,3263 days 00:00:00,13777 days,1,4,3,2,2,1,4,1,2,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,0.0,0.0,0.0,1.0,0.0,,,,
627,mr. C. van Heukelom,mr. C. van Heukelom,C. van Heukelom,,1190.0,87.63%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,2,0,0,1,-0.010437375745526839,1,504 days 00:00:00,7441 days,1,3,2,,,1,5,1,3,C. van Heukelom,00569,C. van Heukelom,370390.383294002,0.0,0.0,1.0,,,,,,
628,S. Cool,S. Cool,S.  Cool,,688.0,50.66%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,3,0,0,0,-0.13518886679920478,1,728 days 00:00:00,3654 days,1,3,3,,,1,2,0,1,S.  Cool,00265,S.  Cool,,1.0,,,,,,,,
629,W. Poolman,W. Poolman,W.  Poolman,,627.0,46.17%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,4,0,0,0,-0.15034791252485089,1,84 days 00:00:00,168 days,1,4,3,,,0,1,1,0,W.  Poolman,01053,W.  Poolman,,,,,,,,,,
630,jhr.mr. P.J. Teding van Berkhout,,,,144.0,10.60%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,5,0,0,0,-0.27037773359840955,1,2331 days 00:00:00,2331 days,1,1,1,,,0,0,0,0,,,,,0.0,,,,,,,,
631,E.W. Cramerus,,,,143.0,10.53%,Amsterdam,1860-06-12,periodiek,4318,1364,1365,1358,30,1.0,679,4024.0,6,0,0,0,-0.2706262425447316,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
632,jhr.mr. G.C.J. van Reenen,jhr.mr. G.C.J. van Reenen,G.C.J. van Reenen,,1376.0,97.77%,Amsterdam,1862-06-10,periodiek,4570,1420,1420,4222,35,3.0,704,4155.0,1,1,0,0,0.20938628158844766,1,42 days 00:00:00,6902 days,1,6,5,3,3,1,10,3,6,G.C.J. van Reenen,01092,G.C.J. van Reenen,593377.5088815925,1.0,1.0,1.0,1.0,0.0,,,,
633,mr. M.H. Godefroi,mr. M.H. Godefroi,M.H.  Godefroi,,1198.0,85.13%,Amsterdam,1862-06-10,periodiek,4570,1420,1420,4222,35,3.0,704,4155.0,2,1,0,0,0.16654632972322503,1,651 days 00:00:00,11149 days,1,7,7,6,6,1,12,5,6,M.H.  Godefroi,00464,M.H.  Godefroi,,1.0,1.0,1.0,1.0,1.0,,,,
634,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,755.0,53.65%,Amsterdam,1862-06-10,periodiek,4570,1420,1420,4222,35,3.0,704,4155.0,3,1,1,0,0.059927797833935016,1,994 days 00:00:00,7495 days,2,16,12,8,6,1,10,5,4,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,1.0,1.0,0.0,1.0,,,,,
635,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,755.0,53.65%,Amsterdam,1862-06-10,periodiek,4570,1420,1420,4222,35,3.0,704,4155.0,3,1,1,0,0.059927797833935016,1,994 days 00:00:00,7495 days,2,16,12,8,6,1,10,5,4,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,1.0,1.0,0.0,1.0,,,,,
636,J.D. van Herwerden,,,,506.0,35.95%,Amsterdam,1862-06-10,periodiek,4570,1420,1420,4222,35,3.0,704,4155.0,4,0,0,1,-0.059927797833935016,1,-1463 days +00:00:00,1463 days,1,1,1,,,0,0,0,0,,,,75296.6509869544,0.0,,,,,,,,
637,S.R. van Franck,S.R. van Franck,S.R. van Franck,,320.0,22.74%,Amsterdam,1862-06-10,periodiek,4570,1420,1420,4222,35,3.0,704,4155.0,5,0,0,0,-0.10469314079422383,1,392 days 00:00:00,3311 days,1,4,4,,,0,3,3,0,S.R. van Franck,00419,S.R. van Franck,,,,,,,,,,
638,S. Cool,S. Cool,S.  Cool,,1118.0,64.01%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,1,1,0,0,0.06344003085229465,1,728 days 00:00:00,3654 days,1,4,4,1,1,1,2,1,0,S.  Cool,00265,S.  Cool,,,,,,,,,,
639,J. van Swieten,J. van Swieten,J. van Swieten,,842.0,48.21%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,2,1,0,0,0.010219822599305824,1,868 days 00:00:00,882 days,1,1,1,1,1,0,1,0,1,J. van Swieten,01331,J. van Swieten,74762.69698279985,0.0,,,,,,,,
640,mr. C. van Heukelom,mr. C. van Heukelom,C. van Heukelom,,828.0,47.40%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,3,1,1,0,0.007520246818357115,1,504 days 00:00:00,7441 days,1,4,3,3,2,0,5,2,3,C. van Heukelom,00569,C. van Heukelom,370390.383294002,0.0,1.0,,,,,,,
641,mr. J. Heemskerk Azn.,mr. J. Heemskerk Azn.,J.  Heemskerk Azn.,,789.0,45.17%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,4,0,0,1,-0.007520246818357115,1,3263 days 00:00:00,13777 days,1,5,4,,,0,4,2,2,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,0.0,0.0,1.0,0.0,,,,,
642,mr. J. Heemskerk Azn.,mr. J. Heemskerk Azn.,J.  Heemskerk Azn.,,789.0,45.17%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,4,0,0,1,-0.007520246818357115,1,3263 days 00:00:00,13777 days,1,5,4,,,0,4,2,2,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,0.0,0.0,1.0,0.0,,,,,
643,J.J.A. Santhagens,,,,695.0,39.79%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,5,0,0,0,-0.025645969919012728,1,,14 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
644,J.J. Hasselman,J.J. Hasselman,J.J.  Hasselman,,663.0,37.96%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,6,0,0,0,-0.031816428846895485,1,728 days 00:00:00,1820 days,1,1,1,,,0,1,0,1,J.J.  Hasselman,00528,J.J.  Hasselman,54560.1451769079,0.0,0.0,1.0,,,,,,
645,mr.dr. J.J. Teding van Berkhout,mr.dr. J.J. Teding van Berkhout,J.J.  Teding van Berkhout,,126.0,7.21%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,7,0,0,0,-0.13536444273042808,1,65 days 00:00:00,10421 days,1,9,9,,,0,2,0,2,J.J.  Teding van Berkhout,01343,J.J.  Teding van Berkhout,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
646,J. van Eik,,,,125.0,7.16%,Amsterdam,1864-06-14,periodiek,4441,1762,1762,5240,22,3.0,873,5186.0,8,0,0,0,-0.1355572695719244,1,868 days 00:00:00,1820 days,2,2,2,,,0,0,0,0,,,,,0.0,0.0,,,,,,,
647,mr. C. van Heukelom,mr. C. van Heukelom,C. van Heukelom,,1332.0,52.93%,Amsterdam,1864-06-28,herstemming,4441,2534,2532,5033,11,2.0,1258,5033.0,1,1,0,0,0.02265050665606994,1,504 days 00:00:00,7441 days,1,5,3,4,2,1,5,2,2,C. van Heukelom,00569,C. van Heukelom,370390.383294002,0.0,1.0,,,,,,,
648,J. van Swieten,J. van Swieten,J. van Swieten,,1331.0,52.89%,Amsterdam,1864-06-28,herstemming,4441,2534,2532,5033,11,2.0,1258,5033.0,2,1,1,0,0.02245181800119213,1,868 days 00:00:00,882 days,1,2,1,2,1,1,1,0,0,J. van Swieten,01331,J. van Swieten,74762.69698279985,0.0,,,,,,,,
649,mr. J. Heemskerk Azn.,mr. J. Heemskerk Azn.,J.  Heemskerk Azn.,,1218.0,48.40%,Amsterdam,1864-06-28,herstemming,4441,2534,2532,5033,11,2.0,1258,5033.0,3,0,0,1,-0.02245181800119213,1,3263 days 00:00:00,13777 days,1,6,4,,,0,4,2,2,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,0.0,0.0,1.0,0.0,,,,,
650,mr. J. Heemskerk Azn.,mr. J. Heemskerk Azn.,J.  Heemskerk Azn.,,1218.0,48.40%,Amsterdam,1864-06-28,herstemming,4441,2534,2532,5033,11,2.0,1258,5033.0,3,0,0,1,-0.02245181800119213,1,3263 days 00:00:00,13777 days,1,6,4,,,0,4,2,2,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,0.0,0.0,1.0,0.0,,,,,
651,J.J.A. Santhagens,,,,1152.0,45.78%,Amsterdam,1864-06-28,herstemming,4441,2534,2532,5033,11,2.0,1258,5033.0,4,0,0,0,-0.03556526922312736,1,,14 days,1,2,1,,,0,0,0,0,,,,,,,,,,,,,
652,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,975.0,61.79%,Amsterdam,1864-11-03,tussentijds,4441,1610,1604,1578,24,1.0,789,1528.0,1,1,1,0,0.2761780104712042,1,322 days 00:00:00,5706 days,1,7,6,4,4,1,6,3,2,J.J.  Rochussen,01116,J.J.  Rochussen,,0.0,1.0,,,,,,,
653,D.A. van Heemskerk Veeckens,,,,553.0,35.04%,Amsterdam,1864-11-03,tussentijds,4441,1610,1604,1578,24,1.0,789,1528.0,2,0,0,1,-0.2761780104712042,1,,0 days,1,1,1,,,0,0,0,0,,,,94334.192624188,,,,,,,,,
654,jhr.mr. G.C.J. van Reenen,jhr.mr. G.C.J. van Reenen,G.C.J. van Reenen,,1597.0,97.50%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,1,1,0,0,0.23934088568486098,1,42 days 00:00:00,6902 days,1,7,6,4,4,1,10,4,5,G.C.J. van Reenen,01092,G.C.J. van Reenen,593377.5088815925,1.0,1.0,1.0,0.0,,,,,
655,mr. M.H. Godefroi,mr. M.H. Godefroi,M.H.  Godefroi,,1491.0,91.03%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,2,1,0,0,0.21750772399588053,1,651 days 00:00:00,11149 days,1,8,8,7,7,1,12,6,5,M.H.  Godefroi,00464,M.H.  Godefroi,,1.0,1.0,1.0,1.0,,,,,
656,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,1113.0,67.95%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,3,1,1,0,0.1396498455200824,1,994 days 00:00:00,7495 days,1,17,13,9,7,1,10,6,3,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,1.0,0.0,1.0,,,,,,
657,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,1113.0,67.95%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,3,1,1,0,0.1396498455200824,1,994 days 00:00:00,7495 days,1,17,13,9,7,1,10,6,3,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,1.0,0.0,1.0,,,,,,
658,mr. J. Messchert van Vollenhoven,mr. J. Messchert van Vollenhoven,J.  Messchert van Vollenhoven,,435.0,26.56%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,4,0,0,1,-0.1396498455200824,1,140 days 00:00:00,2569 days,1,1,1,,,0,1,0,1,J.  Messchert van Vollenhoven,00909,J.  Messchert van Vollenhoven,,0.0,0.0,0.0,,,,,,
659,mr.dr. J.J. Teding van Berkhout,mr.dr. J.J. Teding van Berkhout,J.J.  Teding van Berkhout,,112.0,6.84%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,5,0,0,0,-0.2061791967044284,1,65 days 00:00:00,10421 days,1,10,10,,,0,2,0,2,J.J.  Teding van Berkhout,01343,J.J.  Teding van Berkhout,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
660,mr. L.W.C. Keuchenius,mr. L.W.C. Keuchenius,L.W.C.  Keuchenius,,107.0,6.53%,Amsterdam,1866-06-12,periodiek,4249,1647,1654,4914,13,3.0,819,4855.0,6,0,0,0,-0.20720906282183316,1,408 days 00:00:00,9856 days,5,8,8,,,1,12,0,11,L.W.Ch.  Keuchenius,00691,L.W.Ch.  Keuchenius,-8129.321577144653,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
661,jhr.mr. G.C.J. van Reenen,jhr.mr. G.C.J. van Reenen,G.C.J. van Reenen,,3032.0,91.55%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,1,1,0,0,0.08430438747593474,1,42 days 00:00:00,6902 days,1,8,7,5,5,1,10,5,4,G.C.J. van Reenen,01092,G.C.J. van Reenen,593377.5088815925,1.0,1.0,0.0,,,,,,
662,mr. M.H. Godefroi,mr. M.H. Godefroi,M.H.  Godefroi,,1881.0,56.80%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,2,1,0,0,0.02599047522545344,1,651 days 00:00:00,11149 days,1,9,9,8,8,1,12,7,4,M.H.  Godefroi,00464,M.H.  Godefroi,,1.0,1.0,1.0,,,,,,
663,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,1716.0,51.81%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,3,1,0,0,0.0176309656500152,1,994 days 00:00:00,7495 days,1,18,14,10,8,1,10,7,2,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,0.0,1.0,,,,,,,
664,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,1716.0,51.81%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,3,1,0,0,0.0176309656500152,1,994 days 00:00:00,7495 days,1,18,14,10,8,1,10,7,2,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,0.0,1.0,,,,,,,
665,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,1616.0,48.79%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,4,1,0,0,0.012564596210355659,1,322 days 00:00:00,5706 days,1,8,7,5,5,0,6,4,2,J.J.  Rochussen,01116,J.J.  Rochussen,,1.0,,,,,,,,
666,mr. M.J. Pijnappel,mr. M.J. Pijnappel,M.J.  Pijnappel,,1574.0,47.53%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,5,1,0,0,0.010436721045698653,1,-2879 days +00:00:00,11196 days,1,1,1,1,1,0,4,0,4,M.J.  Pijnappel,01068,M.J.  Pijnappel,1759734.1754003214,1.0,0.0,0.0,0.0,,,,,
667,mr. P.P. van Bosse,mr. P.P. van Bosse,P.P. van Bosse,,1406.0,42.45%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,6,1,1,0,0.0019252203870706252,1,4914 days 00:00:00,8792 days,5,19,17,7,6,0,6,5,1,P.Ph. van Bosse,00184,P.Ph. van Bosse,132307.49243123925,1.0,1.0,1.0,0.0,,,,,
668,jhr.mr. J. de Bosch Kemper,jhr.mr. J. de Bosch Kemper,J. de Bosch Kemper,,1368.0,41.31%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,7,0,0,1,-0.0019252203870706252,1,-6543 days +00:00:00,7005 days,1,2,2,,,0,2,0,2,J. de Bosch Kemper,00178,J. de Bosch Kemper,,1.0,1.0,,,,,,,
669,H.A. Insinger,H.A. Insinger,H.A.  Insinger,,1366.0,41.25%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,8,0,0,0,-0.002026547775863816,1,1463 days 00:00:00,5355 days,1,1,1,,,0,5,0,5,H.A.  Insinger,00628,H.A.  Insinger,,0.0,0.0,0.0,1.0,0.0,,,,
670,J. van Swieten,J. van Swieten,J. van Swieten,,1332.0,40.22%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,9,0,0,0,-0.0037491133853480595,1,868 days 00:00:00,882 days,1,3,2,,,0,1,1,0,J. van Swieten,01331,J. van Swieten,74762.69698279985,,,,,,,,,
671,mr. J.J.W. van den Biesen,mr. J.J.W. van den Biesen,J.J.W. van den Biesen,,1279.0,38.62%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,10,0,0,0,-0.006434289188367616,1,5222 days 00:00:00,7611 days,1,1,1,,,0,3,0,3,J.J.W. van den Biesen,00118,J.J.W. van den Biesen,103526.21004103305,0.0,1.0,1.0,1.0,0.0,0.0,,,
672,mr. C. van Heukelom,mr. C. van Heukelom,C. van Heukelom,,1259.0,38.02%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,11,0,0,0,-0.007447563076299524,1,504 days 00:00:00,7441 days,1,6,4,,,0,5,3,2,C. van Heukelom,00569,C. van Heukelom,370390.383294002,1.0,,,,,,,,
673,jhr.mr. J.W. van Loon,jhr.mr. J.W. van Loon,J.W. van Loon,,334.0,10.09%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,12,0,0,0,-0.05431148039315027,1,449 days 00:00:00,3283 days,7,10,9,,,0,2,0,2,J.W. van Loon,00841,J.W. van Loon,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
674,mr. H.J. Koenen,,,,309.0,9.33%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,13,0,0,0,-0.05557807275306515,1,30 days 00:00:00,4914 days,2,4,4,,,0,0,0,0,,,,,,,,,,,,,
675,mr. G. Groen van Prinsterer,mr. G. Groen van Prinsterer,G.  Groen van Prinsterer,,307.0,9.27%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,14,0,0,0,-0.05567940014185834,1,-651 days +00:00:00,9168 days,8,94,84,,,0,9,9,0,G.  Groen van Prinsterer,00485,G.  Groen van Prinsterer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,mr.dr. J.J. Teding van Berkhout,mr.dr. J.J. Teding van Berkhout,J.J.  Teding van Berkhout,,306.0,9.24%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,15,0,0,0,-0.05573006383625494,1,65 days 00:00:00,10421 days,1,11,11,,,0,2,0,2,J.J.  Teding van Berkhout,01343,J.J.  Teding van Berkhout,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
677,J. van Eik,,,,299.0,9.03%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,16,0,0,0,-0.05608470969703111,1,868 days 00:00:00,1820 days,1,3,3,,,0,0,0,0,,,,,0.0,,,,,,,,
678,mr. C.F. GÃ¼lcher,,,,277.0,8.36%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,17,0,0,0,-0.057199310973756204,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
679,C.P. van Eeghen,,,,77.0,2.33%,Amsterdam,1866-10-30,algemeen,4249,3341,3341,19871,109,6.0,1656,19738.0,18,0,0,0,-0.06733204985307528,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
680,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,1773.0,66.30%,Amsterdam,1866-11-13,herstemming,4249,2965,2965,8023,860,3.0,1337,8018.0,1,1,0,0,0.057370915440259414,1,322 days 00:00:00,5706 days,1,9,7,6,5,1,6,4,1,J.J.  Rochussen,01116,J.J.  Rochussen,,1.0,,,,,,,,
681,H.A. Insinger,H.A. Insinger,H.A.  Insinger,,1748.0,65.36%,Amsterdam,1866-11-13,herstemming,4249,2965,2965,8023,860,3.0,1337,8018.0,2,1,0,0,0.05425293090546271,1,1463 days 00:00:00,5355 days,1,2,1,1,0,1,5,0,4,H.A.  Insinger,00628,H.A.  Insinger,,0.0,0.0,0.0,1.0,0.0,,,,
682,mr. M.J. Pijnappel,mr. M.J. Pijnappel,M.J.  Pijnappel,,1650.0,61.70%,Amsterdam,1866-11-13,herstemming,4249,2965,2965,8023,860,3.0,1337,8018.0,3,1,1,0,0.042030431529059616,1,-2879 days +00:00:00,11196 days,1,2,1,2,1,1,4,0,3,M.J.  Pijnappel,01068,M.J.  Pijnappel,1759734.1754003214,1.0,0.0,0.0,0.0,,,,,
683,mr. P.P. van Bosse,mr. P.P. van Bosse,P.P. van Bosse,,1313.0,49.10%,Amsterdam,1866-11-13,herstemming,4249,2965,2965,8023,860,3.0,1337,8018.0,4,0,0,1,-0.042030431529059616,1,4914 days 00:00:00,8792 days,3,22,17,,,0,6,5,1,P.Ph. van Bosse,00184,P.Ph. van Bosse,132307.49243123925,1.0,1.0,1.0,0.0,,,,,
684,J. van Swieten,J. van Swieten,J. van Swieten,,1294.0,48.39%,Amsterdam,1866-11-13,herstemming,4249,2965,2965,8023,860,3.0,1337,8018.0,5,0,0,0,-0.04440009977550512,1,868 days 00:00:00,882 days,1,4,2,,,0,1,1,0,J. van Swieten,01331,J. van Swieten,74762.69698279985,,,,,,,,,
685,jhr.mr. J. de Bosch Kemper,jhr.mr. J. de Bosch Kemper,J. de Bosch Kemper,,240.0,8.97%,Amsterdam,1866-11-13,herstemming,4249,2965,2965,8023,860,3.0,1337,8018.0,6,0,0,0,-0.1758543277625343,1,-6543 days +00:00:00,7005 days,1,3,2,,,0,2,0,2,J. de Bosch Kemper,00178,J. de Bosch Kemper,,1.0,1.0,,,,,,,
686,jhr.mr. G.C.J. van Reenen,jhr.mr. G.C.J. van Reenen,G.C.J. van Reenen,,2785.0,95.80%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,1,1,0,0,0.08018922349140417,1,42 days 00:00:00,6902 days,1,9,8,6,6,1,10,6,3,G.C.J. van Reenen,01092,G.C.J. van Reenen,593377.5088815925,1.0,0.0,,,,,,,
687,H.A. Insinger,H.A. Insinger,H.A.  Insinger,,1556.0,53.53%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,2,1,0,0,0.009288104303680628,1,1463 days 00:00:00,5355 days,1,3,2,2,1,1,5,1,3,H.A.  Insinger,00628,H.A.  Insinger,,0.0,0.0,0.0,0.0,,,,,
688,J.J. Rochussen,J.J. Rochussen,J.J.  Rochussen,,1538.0,52.91%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,3,1,0,0,0.008249682704511365,1,322 days 00:00:00,5706 days,1,10,8,7,6,1,6,5,0,J.J.  Rochussen,01116,J.J.  Rochussen,,,,,,,,,,
689,mr. M.J. Pijnappel,mr. M.J. Pijnappel,M.J.  Pijnappel,,1536.0,52.84%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,4,1,0,0,0.008134302526825891,1,-2879 days +00:00:00,11196 days,1,3,2,3,2,1,4,1,2,M.J.  Pijnappel,01068,M.J.  Pijnappel,1759734.1754003214,0.0,0.0,0.0,,,,,,
690,mr. M.H. Godefroi,mr. M.H. Godefroi,M.H.  Godefroi,,1490.0,51.26%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,5,1,0,0,0.005480558440059998,1,651 days 00:00:00,11149 days,1,10,10,9,9,1,12,8,3,M.H.  Godefroi,00464,M.H.  Godefroi,,1.0,1.0,,,,,,,
691,mr. P.P. van Bosse,mr. P.P. van Bosse,P.P. van Bosse,,1445.0,49.71%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,6,1,1,0,0.002884504442136841,1,4914 days 00:00:00,8792 days,3,25,20,9,8,1,6,5,0,P.Ph. van Bosse,00184,P.Ph. van Bosse,132307.49243123925,0.0,,,,,,,,
692,mr. J.R. Thorbecke,,,,1395.0,47.99%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,7,0,0,1,-0.002884504442136841,1,-1629 days +00:00:00,6992 days,2,37,32,,,0,0,0,0,,,,,,,,,,,,,
693,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,1394.0,47.95%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,8,0,0,0,-0.0029421945309795776,1,994 days 00:00:00,7495 days,1,19,15,,,0,10,8,2,J.  Heemskerk,00538,J.  Heemskerk,1430.3669240207687,1.0,,,,,,,,
694,mr. J. Heemskerk Bzn.,mr. J. Heemskerk Bzn.,J.  Heemskerk Bzn.,,1394.0,47.95%,Amsterdam,1868-01-22,algemeen,4322,2946,2947,17442,222,6.0,1454,17334.0,8,0,0,0,-0.0029421945309795776,1,994 days 00:00:00,7495 days,1,19,15,,,0,10,8,2,J.  Heemskerk,00537,J.  Heemskerk,554414.5607918405,1.0,,,,,,,,
