,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel
1290,mr. W. baron van Heeckeren van Kell,,42,1.37%,Zutphen,28/10/1884,algemeen,3470,3098,3098,6123,61,2,1531
1291,jhr.mr. S.M.S. de Ranitz,,1655,50.86%,Zutphen,11/11/1884,herstemming,3470,3269,3269,3254,11,1,1627
1292,mr. B.J.L. baron van Geer van Jutphaas,AR(DT),1597,49.08%,Zutphen,11/11/1884,herstemming,3470,3269,3269,3254,11,1,1627
1293,jhr.mr. S.M.S. de Ranitz,(AH)*,1927,53.94%,Zutphen,15/06/1886,algemeen,3746,3594,3594,7145,37,2,1786
1294,J. Willink,(AH)*,1899,53.16%,Zutphen,15/06/1886,algemeen,3746,3594,3594,7145,37,2,1786
1295,mr. W.G. baron van Brantsen van de Zijp,AR(DT),1674,46.86%,Zutphen,15/06/1886,algemeen,3746,3594,3594,7145,37,2,1786
1296,mr. J.D.C. baron van Heeckeren van Kell,AR(DT),1638,45.85%,Zutphen,15/06/1886,algemeen,3746,3594,3594,7145,37,2,1786
1297,jhr.mr. S.M.S. de Ranitz,,1729,53.12%,Zutphen,01/09/1887,algemeen,3727,3275,3276,6510,34,2,1628
1298,J. Willink,,1712,52.60%,Zutphen,01/09/1887,algemeen,3727,3275,3276,6510,34,2,1628
1299,mr. W.G. baron van Brantsen van de Zijp,AR(DT),1531,47.04%,Zutphen,01/09/1887,algemeen,3727,3275,3276,6510,34,2,1628
1300,A. baron van Schimmelpenninck van der Oye,AR,858,26.36%,Zutphen,01/09/1887,algemeen,3727,3275,3276,6510,34,2,1628
1301,J.B. Dericks,(DT)*,650,19.97%,Zutphen,01/09/1887,algemeen,3727,3275,3276,6510,34,2,1628
1302,mr. M.J. de Man,,959,54.12%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1303,mr. W.H. Dullert,,950,53.61%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1304,mr. G. Groen van Prinsterer,,751,42.38%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1305,mr. Ã. baron van Mackay,,622,35.10%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1306,E.W. van Dam van Isselt,,68,3.84%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1307,mr. G.J.C. Schneither,,61,3.44%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1308,mr. J.M. de Kempenaer,,24,1.35%,Arnhem,27/08/1850,algemeen,2361,1809,1809,3544,37,2,886
1309,mr. W. baron van Lynden,,835,49.02%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1310,mr. Ã. baron van Mackay,,796,46.73%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1311,P.C.G. Guyot,,550,32.29%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1312,mr. G.J.C. Schneither,,457,26.83%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1313,J.A. de Fremery,,338,19.84%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1314,E.L. baron van Voorst tot Voorst,,208,12.21%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1315,mr. J.M. de Kempenaer,,69,4.05%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1316,G.A. de Fokker,,52,3.05%,Arnhem,24/09/1850,tussentijds,2361,1718,1723,3407,27,2,852
1317,mr. W. baron van Lynden,,968,61.09%,Arnhem,08/10/1850,herstemming,2361,1608,1607,3169,37,2,792
1318,mr. Ã. baron van Mackay,,884,55.79%,Arnhem,08/10/1850,herstemming,2361,1608,1607,3169,37,2,792
1319,P.C.G. Guyot,,686,43.29%,Arnhem,08/10/1850,herstemming,2361,1608,1607,3169,37,2,792
1320,mr. G.J.C. Schneither,,631,39.82%,Arnhem,08/10/1850,herstemming,2361,1608,1607,3169,37,2,792
1321,mr. Ã. baron van Mackay,,878,63.49%,Arnhem,08/06/1852,periodiek,2678,1407,1407,1383,17,1,692
1322,mr. G.A. Fokker,,443,32.03%,Arnhem,08/06/1852,periodiek,2678,1407,1407,1383,17,1,692
1323,mr. W. baron van Lynden,,1608,71.98%,Arnhem,17/05/1853,algemeen,2755,2260,2260,4468,40,2,1117
1324,mr. Ã. baron van Mackay,,1602,71.71%,Arnhem,17/05/1853,algemeen,2755,2260,2260,4468,40,2,1117
1325,mr. W.H. Dullert,,614,27.48%,Arnhem,17/05/1853,algemeen,2755,2260,2260,4468,40,2,1117
1326,mr. P.P. van Bosse,,591,26.45%,Arnhem,17/05/1853,algemeen,2755,2260,2260,4468,40,2,1117
1327,mr. Ã. baron van Mackay,,1140,66.55%,Arnhem,13/06/1854,periodiek,2755,1730,1731,1713,13,1,857
1328,mr. W.H. Dullert,,488,28.49%,Arnhem,13/06/1854,periodiek,2755,1730,1731,1713,13,1,857
1329,mr. J.T.H. Nedermeyer ridder van Rosenthal,,72,4.20%,Arnhem,13/06/1854,periodiek,2755,1730,1731,1713,13,1,857
1330,mr. W. baron van Lynden,,1096,66.26%,Arnhem,10/06/1856,periodiek,2861,1683,1683,1654,25,1,827
1331,mr. P.C. baron van Nahuijs,,516,31.20%,Arnhem,10/06/1856,periodiek,2861,1683,1683,1654,25,1,827
1332,mr. Ã. baron van Mackay,,987,90.05%,Arnhem,08/06/1858,periodiek,2912,1180,1180,1096,62,1,548
1333,mr. W. baron van Lynden,,940,67.00%,Arnhem,12/06/1860,periodiek,2774,1418,1418,1403,7,1,702
1334,jhr.mr. J.G.H. van Tets van Goudriaan,,448,31.93%,Arnhem,12/06/1860,periodiek,2774,1418,1418,1403,7,1,702
1335,mr. Ã. baron van Mackay,,727,55.79%,Arnhem,10/06/1862,periodiek,2853,1316,1316,1303,10,1,652
1336,mr. G.A. de Meester,,535,41.06%,Arnhem,10/06/1862,periodiek,2853,1316,1316,1303,10,1,652
1337,mr. G. Groen van Prinsterer,,1021,64.66%,Arnhem,22/07/1862,tussentijds,2853,1592,1591,1579,12,1,790
1338,mr. P.C. baron van Nahuijs,,382,24.19%,Arnhem,22/07/1862,tussentijds,2853,1592,1591,1579,12,1,790
1339,mr. J.J.A.A. baron van Pallandt van Westervoort,,125,7.92%,Arnhem,22/07/1862,tussentijds,2853,1592,1591,1579,12,1,790
1340,mr. W.G. baron van Brantsen van de Zijp,,29,1.84%,Arnhem,22/07/1862,tussentijds,2853,1592,1591,1579,12,1,790
1341,mr. W. baron van Lynden,,1022,57.38%,Arnhem,14/06/1864,periodiek,2794,1805,1805,1781,19,1,891
1342,mr. J.F. Pringle,,738,41.44%,Arnhem,14/06/1864,periodiek,2794,1805,1805,1781,19,1,891
1343,mr. J.P.J.A. graaf van Zuylen van Nijevelt,,916,59.36%,Arnhem,02/05/1865,tussentijds,2892,1584,1585,1543,31,1,772
1344,mr. C.P. Henny,,601,38.95%,Arnhem,02/05/1865,tussentijds,2892,1584,1585,1543,31,1,772
1345,mr. L.W.C. Keuchenius,,918,60.63%,Arnhem,12/06/1866,periodiek,2892,1531,1531,1514,16,1,757
1346,jhr.mr. W.T. Gevers Deynoot,,566,37.38%,Arnhem,12/06/1866,periodiek,2892,1531,1531,1514,16,1,757
1347,mr. C.T. graaf van Lynden van Sandenburg,,751,51.47%,Arnhem,26/06/1866,tussentijds,2892,1471,1471,1459,9,1,730
1348,jhr.mr. W.T. Gevers Deynoot,,438,30.02%,Arnhem,26/06/1866,tussentijds,2892,1471,1471,1459,9,1,730
1349,mr. B.A. Reigers,,198,13.57%,Arnhem,26/06/1866,tussentijds,2892,1471,1471,1459,9,1,730
1350,mr. W.G. baron van Brantsen van de Zijp,,67,4.59%,Arnhem,26/06/1866,tussentijds,2892,1471,1471,1459,9,1,730
1351,mr. L.W.C. Keuchenius,,1262,59.74%,Arnhem,30/10/1866,algemeen,2892,2195,2196,4225,165,2,1056
1352,mr. C.T. graaf van Lynden van Sandenburg,,1117,52.88%,Arnhem,30/10/1866,algemeen,2892,2195,2196,4225,165,2,1056
1353,mr. L.A.J.W. baron van Sloet van de Beele,,889,42.08%,Arnhem,30/10/1866,algemeen,2892,2195,2196,4225,165,2,1056
1354,jhr.mr. J.W. van Loon,,685,32.43%,Arnhem,30/10/1866,algemeen,2892,2195,2196,4225,165,2,1056
1355,mr. B.A. Reigers,,166,7.86%,Arnhem,30/10/1866,algemeen,2892,2195,2196,4225,165,2,1056
1356,mr. L.A.J.W. baron van Sloet van de Beele,,1260,71.69%,Arnhem,22/01/1868,algemeen,3022,1795,1796,3515,73,2,879
1357,mr. W.H. Dullert,,880,50.07%,Arnhem,22/01/1868,algemeen,3022,1795,1796,3515,73,2,879
1358,mr. L.A.J.W. baron van Sloet van de Beele,,874,49.73%,Arnhem,22/01/1868,algemeen,3022,1795,1796,3515,73,2,879
1359,mr. C.T. graaf van Lynden van Sandenburg,,854,48.59%,Arnhem,22/01/1868,algemeen,3022,1795,1796,3515,73,2,879
1360,mr. G. Groen van Prinsterer,,854,48.59%,Arnhem,22/01/1868,algemeen,3022,1795,1796,3515,73,2,879
1361,mr. W.H. Dullert,,1261,50.81%,Arnhem,04/02/1868,herstemming,3022,2505,2506,4964,40,2,1241
1362,mr. L.A.J.W. baron van Sloet van de Beele,,1260,50.77%,Arnhem,04/02/1868,herstemming,3022,2505,2506,4964,40,2,1241
1363,mr. G. Groen van Prinsterer,,1222,49.23%,Arnhem,04/02/1868,herstemming,3022,2505,2506,4964,40,2,1241
1364,mr. C.T. graaf van Lynden van Sandenburg,,1221,49.19%,Arnhem,04/02/1868,herstemming,3022,2505,2506,4964,40,2,1241
1365,mr. W.H. Dullert,(AH)*,1181,54.40%,Arnhem,08/06/1869,periodiek,2745,2189,2189,2171,13,1,1086
1366,jhr.mr. J.W. van Loon,AK/DT/DZH,986,45.42%,Arnhem,08/06/1869,periodiek,2745,2189,2189,2171,13,1,1086
1367,mr. J.P.J.A. graaf van Zuylen van Nijevelt,(DZH)*,1009,51.04%,Arnhem,13/06/1871,periodiek,2863,1987,1987,1977,8,1,989
1368,mr. L.A.J.W. baron van Sloet van de Beele,(AH)*,923,46.69%,Arnhem,13/06/1871,periodiek,2863,1987,1987,1977,8,1,989
1369,mr. L.W.C. Keuchenius,,32,1.62%,Arnhem,13/06/1871,periodiek,2863,1987,1987,1977,8,1,989
1370,mr. W.H. Dullert,(AH)*,1185,53.28%,Arnhem,10/06/1873,periodiek,2980,2250,2250,2224,9,1,1112
1371,mr. H.A. ridder van Rappard,DZH(DT),626,28.15%,Arnhem,10/06/1873,periodiek,2980,2250,2250,2224,9,1,1112
1372,mr. L.W.C. Keuchenius,AR,409,18.39%,Arnhem,10/06/1873,periodiek,2980,2250,2250,2224,9,1,1112
1373,mr. J.H. Geertsema,(AH)*,1025,44.24%,Arnhem,08/06/1875,periodiek,3094,2326,2326,2317,2,1,1159
1374,jhr.mr. A.F. de Savornin Lohman,AR(DT),988,42.64%,Arnhem,08/06/1875,periodiek,3094,2326,2326,2317,2,1,1159
1375,mr. J.P.J.A. graaf van Zuylen van Nijevelt,,285,12.30%,Arnhem,08/06/1875,periodiek,3094,2326,2326,2317,2,1,1159
1376,mr. J.H. Geertsema,(AH)*,1426,52.27%,Arnhem,22/06/1875,herstemming,3094,2739,2739,2728,11,1,1364
1377,jhr.mr. A.F. de Savornin Lohman,AR(DT/DZH),1302,47.73%,Arnhem,22/06/1875,herstemming,3094,2739,2739,2728,11,1,1364
1378,mr. W.H. Dullert,(AH)*,1382,73.67%,Arnhem,12/06/1877,periodiek,3338,1893,1893,1876,13,1,938
1379,mr. A.J. Thomassen Ã Thuessink van der Hoop,,485,25.85%,Arnhem,12/06/1877,periodiek,3338,1893,1893,1876,13,1,938
1380,O. van Rees,,838,41.08%,Arnhem,28/05/1878,tussentijds,3152,2050,2051,2040,8,1,1020
1381,mr. W.C.J.J. Cremers,,456,22.35%,Arnhem,28/05/1878,tussentijds,3152,2050,2051,2040,8,1,1020
1382,jhr.mr. A.F. de Savornin Lohman,,424,20.78%,Arnhem,28/05/1878,tussentijds,3152,2050,2051,2040,8,1,1020
1383,mr. W. baron van Goltstein,,158,7.75%,Arnhem,28/05/1878,tussentijds,3152,2050,2051,2040,8,1,1020
1384,mr. J.F. Bijleveld,,102,5.00%,Arnhem,28/05/1878,tussentijds,3152,2050,2051,2040,8,1,1020
1385,mr. G. van Oosterwijk,,54,2.65%,Arnhem,28/05/1878,tussentijds,3152,2050,2051,2040,8,1,1020
1386,O. van Rees,,1201,65.45%,Arnhem,11/06/1878,herstemming,3152,1868,1868,1835,31,1,918
1387,mr. W.C.J.J. Cremers,,634,34.55%,Arnhem,11/06/1878,herstemming,3152,1868,1868,1835,31,1,918
1388,A. Kool,,885,61.29%,Arnhem,08/04/1879,tussentijds,3152,1482,1482,1444,37,1,722
1389,jhr.mr. A.F. de Savornin Lohman,,461,31.93%,Arnhem,08/04/1879,tussentijds,3152,1482,1482,1444,37,1,722
1390,O. van Rees,,41,2.84%,Arnhem,08/04/1879,tussentijds,3152,1482,1482,1444,37,1,722
1391,A. Kool,(AH)*,991,55.24%,Arnhem,10/06/1879,periodiek,3230,1808,1808,1794,12,1,897
1392,jhr.mr. G.J.T. Beelaerts van Blokland,(DT)*,467,26.03%,Arnhem,10/06/1879,periodiek,3230,1808,1808,1794,12,1,897
1393,dr. T.C.L. Wijnmalen,AR,313,17.45%,Arnhem,10/06/1879,periodiek,3230,1808,1808,1794,12,1,897
1394,P.W. van der Sleyden,,865,54.27%,Arnhem,22/03/1881,tussentijds,3288,1607,1607,1594,11,1,797
1395,mr. A.P.R.C. baron van Borch van Verwolde,,380,23.84%,Arnhem,22/03/1881,tussentijds,3288,1607,1607,1594,11,1,797
1396,H.J. Enderlein,,300,18.82%,Arnhem,22/03/1881,tussentijds,3288,1607,1607,1594,11,1,797
1397,P.W. van der Sleyden,(AH)*,1084,50.21%,Arnhem,14/06/1881,periodiek,3389,2181,2181,2159,18,1,1080
1398,jhr.mr. G.J.T. Beelaerts van Blokland,AR(DT),1069,49.51%,Arnhem,14/06/1881,periodiek,3389,2181,2181,2159,18,1,1080
1399,A. baron van Schimmelpenninck van der Oye,AR(DT),1490,53.39%,Arnhem,12/06/1883,periodiek,3501,2808,2808,2791,11,1,1396
1400,mr. H.C. Verniers van der Loeff,(AH)*,1298,46.51%,Arnhem,12/06/1883,periodiek,3501,2808,2808,2791,11,1,1396
1401,P.W. van der Sleyden,(AH)*,1549,50.55%,Arnhem,28/10/1884,algemeen,3616,3091,3091,6128,40,2,1532
1402,A. baron van Schimmelpenninck van der Oye,AR(DT),1536,50.13%,Arnhem,28/10/1884,algemeen,3616,3091,3091,6128,40,2,1532
1403,W. Rooseboom,(AH)*,1529,49.90%,Arnhem,28/10/1884,algemeen,3616,3091,3091,6128,40,2,1532
1404,mr. W.G. baron van Brantsen van de Zijp,AR(DT),1499,48.92%,Arnhem,28/10/1884,algemeen,3616,3091,3091,6128,40,2,1532
1405,W. Rooseboom,,1696,50.33%,Arnhem,11/11/1884,herstemming,3616,3384,3384,3370,10,1,1685
1406,A. baron van Schimmelpenninck van der Oye,AR(DT),1674,49.67%,Arnhem,11/11/1884,herstemming,3616,3384,3384,3370,10,1,1685
1407,W. Rooseboom,,1454,93.26%,Arnhem,18/06/1885,tussentijds,3718,1642,1642,1559,75,1,780
1408,A. baron van Schimmelpenninck van der Oye,,83,5.32%,Arnhem,18/06/1885,tussentijds,3718,1642,1642,1559,75,1,780
1409,P.W. van der Sleyden,(AH)*,1844,50.65%,Arnhem,15/06/1886,algemeen,3891,3662,3663,7281,43,2,1820
1410,W. Rooseboom,(AH)*,1836,50.43%,Arnhem,15/06/1886,algemeen,3891,3662,3663,7281,43,2,1820
1411,A. baron van Schimmelpenninck van der Oye,AR(DT),1807,49.64%,Arnhem,15/06/1886,algemeen,3891,3662,3663,7281,43,2,1820
1412,mr. R. baron van Melvil van Lynden,AR(DT),1774,48.73%,Arnhem,15/06/1886,algemeen,3891,3662,3663,7281,43,2,1820
1413,P.W. van der Sleyden,,1152,95.44%,Arnhem,23/11/1886,tussentijds,3891,1272,1272,1207,65,1,604
1414,mr. W.G. baron van Brantsen van de Zijp,,39,3.23%,Arnhem,23/11/1886,tussentijds,3891,1272,1272,1207,65,1,604
1415,P.W. van der Sleyden,,1644,64.70%,Arnhem,01/09/1887,algemeen,3879,2605,2609,5082,124,2,1271
1416,W. Rooseboom,,1643,64.66%,Arnhem,01/09/1887,algemeen,3879,2605,2609,5082,124,2,1271
1417,A. baron van Schimmelpenninck van der Oye,AR,889,34.99%,Arnhem,01/09/1887,algemeen,3879,2605,2609,5082,124,2,1271
1418,mr. R. baron van Melvil van Lynden,AR,820,32.27%,Arnhem,01/09/1887,algemeen,3879,2605,2609,5082,124,2,1271
1419,jhr. J.A.C.A. van Nispen van Sevenaer,,1318,72.04%,Nijmegen,27/08/1850,algemeen,2308,1860,1862,3659,18,2,915
1420,jhr. G.E.G.C.K. Dommer van Poldersveldt,,1292,70.62%,Nijmegen,27/08/1850,algemeen,2308,1860,1862,3659,18,2,915
1421,J.W. Losecaat Vermeer,,398,21.75%,Nijmegen,27/08/1850,algemeen,2308,1860,1862,3659,18,2,915
1422,mr. W. baron van Lynden,,361,19.73%,Nijmegen,27/08/1850,algemeen,2308,1860,1862,3659,18,2,915
1423,jhr. C.E.J.F. van Nispen van Pannerden,,93,5.08%,Nijmegen,27/08/1850,algemeen,2308,1860,1862,3659,18,2,915
1424,mr. M.J. de Man,,44,2.40%,Nijmegen,27/08/1850,algemeen,2308,1860,1862,3659,18,2,915
1425,jhr. G.E.G.C.K. Dommer van Poldersveldt,,1215,86.66%,Nijmegen,08/06/1852,periodiek,2502,1437,1437,1402,17,1,701
1426,jhr. C.E.J.F. van Nispen van Pannerden,,35,2.50%,Nijmegen,08/06/1852,periodiek,2502,1437,1437,1402,17,1,701
1427,jhr. G.E.G.C.K. Dommer van Poldersveldt,,1430,65.40%,Nijmegen,17/05/1853,algemeen,2552,2207,2207,4373,15,2,1093
1428,jhr. J.A.C.A. van Nispen van Sevenaer,,1424,65.13%,Nijmegen,17/05/1853,algemeen,2552,2207,2207,4373,15,2,1093
1429,mr. W. baron van Lynden,,728,33.30%,Nijmegen,17/05/1853,algemeen,2552,2207,2207,4373,15,2,1093
1430,jhr. C.E.J.F. van Nispen van Pannerden,,614,28.08%,Nijmegen,17/05/1853,algemeen,2552,2207,2207,4373,15,2,1093
1431,mr. J. Rau van Gameren,,123,5.63%,Nijmegen,17/05/1853,algemeen,2552,2207,2207,4373,15,2,1093
1432,jhr. J.A.C.A. van Nispen van Sevenaer,,1110,78.06%,Nijmegen,13/06/1854,periodiek,2552,1449,1449,1422,25,1,711
1433,mr. C.G. van Sandick,,252,17.72%,Nijmegen,13/06/1854,periodiek,2552,1449,1449,1422,25,1,711
1434,jhr. G.E.G.C.K. Dommer van Poldersveldt,,1120,88.96%,Nijmegen,10/06/1856,periodiek,2595,1348,1348,1259,82,1,630
1435,mr. J.J.L. van der Brugghen,,33,2.62%,Nijmegen,10/06/1856,periodiek,2595,1348,1348,1259,82,1,630
1436,jhr. J.A.C.A. van Nispen van Sevenaer,,1049,93.16%,Nijmegen,08/06/1858,periodiek,2601,1205,1205,1126,75,1,563
1437,jhr. G.E.G.C.K. Dommer van Poldersveldt,,1072,92.89%,Nijmegen,12/06/1860,periodiek,2506,1196,1196,1154,28,1,577
1438,mr. C.G. van Sandick,,54,4.68%,Nijmegen,12/06/1860,periodiek,2506,1196,1196,1154,28,1,577
1439,jhr. J.A.C.A. van Nispen van Sevenaer,,1215,59.73%,Nijmegen,10/06/1862,periodiek,2536,2064,2065,2034,17,1,1017
1440,mr. W.C.C. Sassen jr.,,784,38.54%,Nijmegen,10/06/1862,periodiek,2536,2064,2065,2034,17,1,1017
1441,mr. C.J.A. Heydenrijck,,1084,53.35%,Nijmegen,10/06/1862,tussentijds,2536,2060,2060,2032,24,1,1016
1442,mr. A. Schouten,,787,38.73%,Nijmegen,10/06/1862,tussentijds,2536,2060,2060,2032,24,1,1016
1443,mr. J.J.L. van der Brugghen,,82,4.04%,Nijmegen,10/06/1862,tussentijds,2536,2060,2060,2032,24,1,1016
1444,mr. C.J.A. Heydenrijck,,991,96.49%,Nijmegen,14/06/1864,periodiek,2472,1101,1101,1027,63,1,514
1445,jhr. J.A.C.A. van Nispen van Sevenaer,,904,81.08%,Nijmegen,12/06/1866,periodiek,2481,1148,1149,1115,28,1,558
1446,mr. W.J. Triebels,,181,16.23%,Nijmegen,12/06/1866,periodiek,2481,1148,1149,1115,28,1,558
1447,mr. C.J.A. Heydenrijck,,1388,84.94%,Nijmegen,30/10/1866,algemeen,2481,1682,1682,3268,90,2,817
1448,jhr. J.A.C.A. van Nispen van Sevenaer,,1286,78.70%,Nijmegen,30/10/1866,algemeen,2481,1682,1682,3268,90,2,817
1449,mr. W.J. Triebels,,317,19.40%,Nijmegen,30/10/1866,algemeen,2481,1682,1682,3268,90,2,817
1450,mr. W. Francken,,93,5.69%,Nijmegen,30/10/1866,algemeen,2481,1682,1682,3268,90,2,817
1451,mr. F.P. Bijleveld,,56,3.43%,Nijmegen,30/10/1866,algemeen,2481,1682,1682,3268,90,2,817
1452,mr. J.J. van Meerbeke,,32,1.96%,Nijmegen,30/10/1866,algemeen,2481,1682,1682,3268,90,2,817
1453,mr. C.J.A. Heydenrijck,,1053,76.61%,Nijmegen,22/01/1868,algemeen,2497,1402,1402,2749,39,2,687
1454,jhr. J.A.C.A. van Nispen van Sevenaer,,1022,74.35%,Nijmegen,22/01/1868,algemeen,2497,1402,1402,2749,39,2,687
1455,mr. W.J. Triebels,,359,26.12%,Nijmegen,22/01/1868,algemeen,2497,1402,1402,2749,39,2,687
1456,T.J. Stieltjes,,263,19.13%,Nijmegen,22/01/1868,algemeen,2497,1402,1402,2749,39,2,687
1457,mr. C.J.A. Heydenrijck,AK/DT/DZH,1289,67.74%,Nijmegen,08/06/1869,periodiek,2413,1921,1921,1903,9,1,952
1458,mr. W.J. Triebels,(AH)*,605,31.79%,Nijmegen,08/06/1869,periodiek,2413,1921,1921,1903,9,1,952
1459,jhr. J.A.C.A. van Nispen van Sevenaer,(DT)*,1206,71.02%,Nijmegen,13/06/1871,periodiek,2474,1711,1712,1698,11,1,849
1460,mr. W.J. Triebels,(AH)*,472,27.80%,Nijmegen,13/06/1871,periodiek,2474,1711,1712,1698,11,1,849
1461,mr. C.J.A. Heydenrijck,(DT)*,1113,82.51%,Nijmegen,10/06/1873,periodiek,2527,1396,1396,1349,42,1,675
1462,mr. Ã. baron van Mackay 2,AR,145,10.75%,Nijmegen,10/06/1873,periodiek,2527,1396,1396,1349,42,1,675
1463,mr. W.J. Triebels,,30,2.22%,Nijmegen,10/06/1873,periodiek,2527,1396,1396,1349,42,1,675
1464,jhr. R.A.J.B.M. van Nispen tot Sevenaer,,1176,95.84%,Nijmegen,01/06/1875,tussentijds,2574,1315,1315,1227,86,1,614
1465,jhr.mr. C.J.C.H. van Nispen tot Sevenaer,DT(DZH),1437,72.65%,Nijmegen,08/06/1875,periodiek,2574,1998,1990,1978,11,1,989
1466,mr. W. Francken,,517,26.14%,Nijmegen,08/06/1875,periodiek,2574,1998,1990,1978,11,1,989
1467,jhr.mr. C.J.C.H. van Nispen tot Sevenaer,,1044,95.43%,Nijmegen,11/01/1876,tussentijds,2574,1121,1124,1094,29,1,547
1468,mr. C.J.A. Heydenrijck,(DT)*,1175,71.47%,Nijmegen,12/06/1877,periodiek,2804,1660,1660,1644,15,1,822
1469,mr. W.J.J.G. Most,(AH)*,412,25.06%,Nijmegen,12/06/1877,periodiek,2804,1660,1660,1644,15,1,822
1470,mr. G.W. graaf van Rechteren van Appeltern,,32,1.95%,Nijmegen,12/06/1877,periodiek,2804,1660,1660,1644,15,1,822
1471,jhr.mr. C.J.C.H. van Nispen tot Sevenaer,(DT)*,1347,93.93%,Nijmegen,10/06/1879,periodiek,2856,1480,1480,1434,37,1,717
1472,mr. G.W. graaf van Rechteren van Appeltern,,68,4.74%,Nijmegen,10/06/1879,periodiek,2856,1480,1480,1434,37,1,717
1473,mr. C.J.A. Heydenrijck,(DT)*,1190,89.47%,Nijmegen,14/06/1881,periodiek,2871,1371,1371,1330,37,1,665
1474,H. Duys,AR,114,8.57%,Nijmegen,14/06/1881,periodiek,2871,1371,1371,1330,37,1,665
1475,A.E. Reuther,,1425,75.64%,Nijmegen,12/06/1883,tussentijds,2964,1926,1926,1884,20,1,942
1476,mr. W.J.J.G. Most,,413,21.92%,Nijmegen,12/06/1883,tussentijds,2964,1926,1926,1884,20,1,942
1477,jhr.mr. C.J.C.H. van Nispen tot Sevenaer,,1460,76.80%,Nijmegen,12/06/1883,periodiek,2964,1923,1923,1901,21,1,951
1478,K.W. van Gorkom,,374,19.67%,Nijmegen,12/06/1883,periodiek,2964,1923,1923,1901,21,1,951
1479,mr. M.J.C.M. Kolkman,,1328,77.30%,Nijmegen,29/04/1884,tussentijds,2929,1737,1737,1718,13,1,859
1480,mr. W.J.J.G. Most,,309,17.99%,Nijmegen,29/04/1884,tussentijds,2929,1737,1737,1718,13,1,859
1481,C.A.L. baron van Hugenpoth tot Aerdt,,74,4.31%,Nijmegen,29/04/1884,tussentijds,2929,1737,1737,1718,13,1,859
1482,mr. M.J.C.M. Kolkman,(DT)*,1404,78.35%,Nijmegen,28/10/1884,algemeen,2929,1807,1807,3584,30,2,896
1483,A.E. Reuther,(DT)*,1400,78.13%,Nijmegen,28/10/1884,algemeen,2929,1807,1807,3584,30,2,896
1484,mr. W.J.J.G. Most,(AH)*,355,19.81%,Nijmegen,28/10/1884,algemeen,2929,1807,1807,3584,30,2,896
1485,K.W. van Gorkom,(AH)*,330,18.42%,Nijmegen,28/10/1884,algemeen,2929,1807,1807,3584,30,2,896
1486,mr. M.J.C.M. Kolkman,(DT)*,1647,75.50%,Nijmegen,15/06/1886,algemeen,3161,2205,2205,4363,43,2,1091
1487,A.E. Reuther,(DT)*,1641,75.22%,Nijmegen,15/06/1886,algemeen,3161,2205,2205,4363,43,2,1091
1488,mr. M.A. van Roggen,(AH)*,507,23.24%,Nijmegen,15/06/1886,algemeen,3161,2205,2205,4363,43,2,1091
1489,mr. J.G. Gleichman,(AH)*,445,20.40%,Nijmegen,15/06/1886,algemeen,3161,2205,2205,4363,43,2,1091
1490,mr. W.J. Triebels,,54,2.48%,Nijmegen,15/06/1886,algemeen,3161,2205,2205,4363,43,2,1091
1491,mr. M.J.C.M. Kolkman,(DT)*,1174,82.56%,Nijmegen,01/09/1887,algemeen,3150,1444,1444,2844,44,2,711
1492,A.E. Reuther,(DT)*,1165,81.93%,Nijmegen,01/09/1887,algemeen,3150,1444,1444,2844,44,2,711
1493,mr. H. Goeman Borgesius,,238,16.74%,Nijmegen,01/09/1887,algemeen,3150,1444,1444,2844,44,2,711
1494,mr. H.C. Verniers van der Loeff,,237,16.67%,Nijmegen,01/09/1887,algemeen,3150,1444,1444,2844,44,2,711
1495,E.W. van Dam van Isselt,,538,51.48%,Tiel,27/08/1850,algemeen,1560,1060,1061,1045,7,1,523
1496,dr. W.R. baron van HoÃ«vell,,470,44.98%,Tiel,27/08/1850,algemeen,1560,1060,1061,1045,7,1,523
1497,E.W. van Dam van Isselt,,645,83.23%,Tiel,08/06/1852,periodiek,1441,782,782,775,7,1,388
1498,mr. G. Groen van Prinsterer,,26,3.35%,Tiel,08/06/1852,periodiek,1441,782,782,775,7,1,388
